frame;id;AccelerationEgo;VelocityEgo;XPosition;YPosition;YawAngle
460;1; -4.212018; 19.165075; 92.837845; 1.894296; 3.145760
470;0;3.098132; 8.116854; -35.919059; -9.136159; -0.006725
470;1; -2.018165; 19.207158; 92.646195; 1.894681; 3.146104
480;0;-1.494080; 8.147836; -35.837892; -9.136750; -0.006761
480;1; -3.575488; 19.186949; 92.454124; 1.895004; 3.146410
490;0;-2.665386; 8.132896; -35.756416; -9.137352; -0.006801
490;1; -2.281192; 19.222680; 92.262254; 1.895283; 3.146721
500;0;-2.159797; 8.106243; -35.675089; -9.137967; -0.006852
500;1; -2.876116; 19.199839; 92.070028; 1.895521; 3.146977
510;0;3.146244; 8.084646; -35.594029; -9.138594; -0.006915
510;1; -4.208971; 19.171041; 91.878029; 1.895714; 3.147239
520;0;-0.134146; 8.116109; -35.513185; -9.139227; -0.006983
520;1; -1.989966; 19.213092; 91.686319; 1.895848; 3.147508
530;0;-1.335980; 8.114767; -35.432027; -9.139864; -0.007052
530;1; -2.670063; 19.193162; 91.494188; 1.895919; 3.147743
540;0;3.040922; 8.101408; -35.350882; -9.140502; -0.007121
540;1; -3.607813; 19.166428; 91.302256; 1.895941; 3.147991
550;0;-0.562541; 8.131817; -35.269870; -9.141139; -0.007188
550;1; -1.857581; 19.202481; 91.110592; 1.895910; 3.148244
560;0;-1.724940; 8.126191; -35.188554; -9.141776; -0.007253
560;1; -3.559636; 19.183878; 90.918567; 1.895837; 3.148445
570;0;3.090235; 8.108941; -35.107295; -9.142409; -0.007314
570;1; -2.049676; 19.219451; 90.726729; 1.895719; 3.148655
580;0;-0.657021; 8.139843; -35.026208; -9.143031; -0.007366
580;1; -2.632139; 19.198927; 90.534534; 1.895562; 3.148812
590;0;0.623034; 8.133273; -34.944812; -9.143649; -0.007413
590;1; -4.204494; 19.172576; 90.342545; 1.895361; 3.148978
600;0;-1.620024; 8.139503; -34.863481; -9.144258; -0.007451
600;1; -1.817983; 19.214588; 90.150819; 1.895113; 3.149148
610;0;3.076606; 8.123304; -34.782089; -9.144878; -0.007495
610;1; -2.498585; 19.196384; 89.958674; 1.894807; 3.149287
620;0;-1.029540; 8.154070; -34.700858; -9.145513; -0.007549
620;1; -3.604140; 19.171373; 89.766710; 1.894462; 3.149435
630;0;-2.202074; 8.143775; -34.619320; -9.146156; -0.007607
630;1; -1.740855; 19.207394; 89.574997; 1.894074; 3.149586
640;0;3.151581; 8.121754; -34.537885; -9.146807; -0.007669
640;1; -2.328564; 19.189965; 89.382923; 1.893649; 3.149685
650;0;-0.798321; 8.153270; -34.456670; -9.147464; -0.007734
650;1; -3.595771; 19.166658; 89.191024; 1.893190; 3.149791
660;0;-2.001079; 8.145287; -34.375140; -9.148124; -0.007799
660;1; -1.607762; 19.202598; 88.999358; 1.892691; 3.149900
670;0;-1.747611; 8.125276; -34.293690; -9.148785; -0.007862
670;1; -2.193935; 19.186503; 88.807333; 1.892159; 3.149957
680;0;-1.056274; 8.107800; -34.212440; -9.149442; -0.007920
680;1; -3.590071; 19.164544; 88.615469; 1.891595; 3.150020
690;0;3.004798; 8.097237; -34.131364; -9.150094; -0.007972
690;1; -1.513424; 19.200430; 88.423824; 1.890998; 3.150085
700;0;0.197685; 8.127285; -34.050394; -9.150739; -0.008017
700;1; -3.549840; 19.185282; 88.231821; 1.890369; 3.150099
710;0;-0.934722; 8.129262; -33.969124; -9.151381; -0.008056
710;1; -1.759561; 19.220767; 88.039969; 1.889714; 3.150117
720;0;2.988804; 8.119915; -33.887834; -9.152018; -0.008088
720;1; -2.338873; 19.203158; 87.847763; 1.889031; 3.150117
730;0;-0.435697; 8.149803; -33.806637; -9.152670; -0.008131
730;1; -2.088904; 19.179754; 87.655733; 1.888321; 3.150117
740;0;0.962930; 8.145446; -33.725142; -9.153333; -0.008178
740;1; -3.589638; 19.158853; 87.463937; 1.887582; 3.150118
750;0;-1.446755; 8.155075; -33.643690; -9.154006; -0.008231
750;1; -1.311178; 19.194739; 87.272350; 1.886817; 3.150120
760;0;3.054522; 8.140608; -33.562143; -9.154687; -0.008286
760;1; -1.480366; 19.181618; 87.080404; 1.886027; 3.150120
770;0;-1.059765; 8.171153; -33.480739; -9.155375; -0.008344
770;1; -3.545909; 19.166806; 86.888589; 1.885216; 3.150120
780;0;-2.223097; 8.160556; -33.399031; -9.156068; -0.008403
780;1; -1.372419; 19.202257; 86.696923; 1.884387; 3.150119
790;0;3.154154; 8.138325; -33.317428; -9.156763; -0.008461
790;1; -1.950414; 19.188525; 86.504902; 1.883535; 3.150069
800;0;-0.815404; 8.169866; -33.236048; -9.157457; -0.008516
800;1; -3.588181; 19.169013; 86.313019; 1.882667; 3.150021
810;0;-2.022559; 8.161712; -33.154352; -9.158152; -0.008569
810;1; -1.349450; 19.204889; 86.121331; 1.881779; 3.149972
820;0;-1.790314; 8.141487; -33.072738; -9.158843; -0.008616
820;1; -1.934039; 19.191389; 85.929284; 1.880873; 3.149876
830;0;3.098307; 8.123583; -32.991326; -9.159527; -0.008655
830;1; -3.590959; 19.172043; 85.737373; 1.879953; 3.149782
840;0;-0.159784; 8.154566; -32.910093; -9.160231; -0.008707
840;1; -1.340735; 19.207948; 85.545654; 1.879017; 3.149687
850;0;-1.342076; 8.152969; -32.828551; -9.160948; -0.008764
850;1; -1.925851; 19.194537; 85.353577; 1.878066; 3.149548
860;0;3.041209; 8.139548; -32.747024; -9.161676; -0.008828
860;1; -4.196067; 19.175275; 85.161634; 1.877103; 3.149410
870;0;-0.566710; 8.169960; -32.665632; -9.162414; -0.008898
870;1; -1.336573; 19.217231; 84.969884; 1.876130; 3.149272
880;0;-1.726252; 8.164293; -32.583936; -9.163160; -0.008970
880;1; -2.016702; 19.203864; 84.777714; 1.875138; 3.149125
890;0;-1.573051; 8.147031; -32.502296; -9.163910; -0.009043
890;1; -4.197571; 19.183695; 84.585678; 1.874140; 3.148978
900;0;3.070806; 8.131301; -32.420830; -9.164660; -0.009113
900;1; -1.417516; 19.225668; 84.393844; 1.873134; 3.148831
910;0;-0.143270; 8.162009; -32.339520; -9.165408; -0.009179
910;1; -2.098524; 19.211492; 84.201590; 1.872116; 3.148676
920;0;-1.338345; 8.160576; -32.257903; -9.166158; -0.009242
920;1; -4.198331; 19.190506; 84.009478; 1.871093; 3.148522
930;0;3.040322; 8.147192; -32.176301; -9.166905; -0.009300
930;1; -1.476708; 19.232489; 83.817575; 1.870068; 3.148366
940;0;-0.582574; 8.177596; -32.094833; -9.167670; -0.009370
940;1; -2.158421; 19.217721; 83.625253; 1.869034; 3.148205
950;0;-1.744605; 8.171770; -32.013060; -9.168448; -0.009445
950;1; -4.198565; 19.196137; 83.433079; 1.868000; 3.148044
960;0;-1.584275; 8.154325; -31.931347; -9.169237; -0.009526
960;1; -1.520202; 19.238123; 83.241120; 1.866966; 3.147880
970;0;3.072247; 8.138483; -31.849807; -9.170041; -0.009616
970;1; -2.202470; 19.222921; 83.048742; 1.865928; 3.147715
980;0;2.031646; 8.169205; -31.768427; -9.170854; -0.009710
980;1; -4.198449; 19.200896; 82.856516; 1.864892; 3.147549
990;0;-1.310757; 8.189522; -31.686739; -9.171674; -0.009804
990;1; -1.552446; 19.242881; 82.664509; 1.863859; 3.147381
1000;0;-2.108253; 8.176414; -31.604848; -9.172503; -0.009896
1000;1; -2.235183; 19.227356; 82.472083; 1.862827; 3.147213
1010;0;3.139322; 8.155332; -31.523088; -9.173332; -0.009984
1010;1; -4.198109; 19.205005; 82.279812; 1.861799; 3.147043
1020;0;-0.663728; 8.186725; -31.441538; -9.174159; -0.010066
1020;1; -1.576520; 19.246986; 82.087765; 1.860778; 3.146871
1030;0;-1.869842; 8.180088; -31.359675; -9.174986; -0.010145
1030;1; -2.259635; 19.231221; 81.895298; 1.859761; 3.146701
1040;0;3.108323; 8.161389; -31.277879; -9.175809; -0.010216
